Sheet Row Number,Name,Arrondissement,Favorite,Cuisine,Vibe,Features,Address,Postal Code,Website,Google Place ID,Latitude,Longitude
1837,MOJO,17,,,,,"9 Rue du Général Lanrezac, 75017 Paris, France",75017,https://mojo-paris.com/,ChIJS1qbQthv5kcRKG3wzRYcy7c,48.8764782,2.2940899
1838,MONSIEUR MADAME - BRASSERIE RESTAURANT,17,,"cafe, wine_bar",casual,,"35 Av. des Ternes, 75017 Paris, France",75017,http://monsieurmadameparis.com/,ChIJrbePm1Jv5kcRTx9Fd4xYBvQ,48.8785454,2.2940368
1839,Montijo,17,,wine_bar,casual,,"167 Rue de Rome, 75017 Paris, France",75017,https://www.montijo.fr/,ChIJbWhJkClv5kcRoj5Weyc_8wA,48.8871977,2.3142174
1840,Mova,17,,,casual,,"39 Rue des Dames, 75017 Paris, France",75017,https://www.mova-paris.fr/,ChIJ-5A0x9Vv5kcRkHkE8Du_hw4,48.8841343,2.3232752
80,Nhomade Paris,17,,,,,"6 Rue Descombes, 75017 Paris, France",75017,https://nhomadeparis.com/,ChIJzc-cFEYeckMRQTDilgW34pc,48.8845693,2.2932496
1841,Nonno Nino Restaurant,17,,,casual,,"10 Rue Bremontier, 75017 Paris, France",75017,https://www.nonnonino.fr/,ChIJow0Soj1v5kcRRTr4S07xAyI,48.8846548,2.3042147
1843,Olives et Cacahuètes,17,,,,,"46 Rue Legendre, 75017 Paris, France",75017,,ChIJ1TJbUbBv5kcRMzokPqV2lAw,48.8847326,2.3154255
1866,OYA,17,,,,,"80 Rue Lemercier, 75017 Paris, France",75017,https://www.oya-paris.com/,ChIJNaWNlQ1v5kcREfdDUmhdf4M,48.8885626,2.3205293
1876,Pignon,17,,wine_bar,casual,,"9 Rue Brochant, 75017 Paris, France",75017,https://www.facebook.com/barpignon,ChIJb6MBR65v5kcR0Z2mA-OsJSg,48.8884019,2.3170763
1067,Pizza Di Loretta - Courcelles,17,,,casual,,"12 Bd de Courcelles, 75017 Paris, France",75017,https://www.pizzadiloretta.com/location/opera-bourse-lafayette,ChIJKf37Q7dv5kcR04WKTJcvSak,48.8812143,2.3141169
