Sheet Row Number,Name,Arrondissement,City,Postal Code,Status,Needs Review,Google Place ID,Latitude,Longitude,Exclusion Reasons,Location Concern
581,Holiday Paris - Holiday Vegan Diner,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
582,Gemini Odéon,6,Paris,75006,closed,FALSE,ChIJnYe1qENx5kcRYxrkKLAKjhc,48.8514489,2.3392571,inactive,
583,Gido,6,Paris,75006,closed,FALSE,ChIJdUFHpgZx5kcREyyOOtnVpzQ,48.8474597,2.3257628,inactive,
586,Non Solo Cucina,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
588,Prunier Victor Hugo by Yannick Alléno,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
592,Restaurants Hotel Brach by Starck,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
593,Summer by La Bauhinia - Shangri La - Ephemeral,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
596,Stéphanie Le Quellec va ouvrir sa « maison de cuisine » MAM (Paris 17e arr.) en décembre 2020 - ATABULA - Edition générale,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
598,OKA & Fogo,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
599,L'heure gourmande,6,Paris,75006,closed,FALSE,ChIJRy3dy9hx5kcRNZ6RXORmH7A,48.8549121,2.3383751,inactive,
601,La Boucherie Grégoire,6,Paris,75006,closed,FALSE,ChIJV9CmYPNx5kcRVs2HPyYt5D8,48.847911,2.3252989,inactive,
603,Mamine Batignolles,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
604,La Estancia,6,Paris,75006,closed,FALSE,ChIJ44H5Sw9x5kcRuQTmqhzz-Lo,48.8543809,2.3427199,inactive,
611,TAURUS I RESTAURANT DE VIANDES MATURÉES PARIS 17 75017,,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
616,"Yansai: the Asian street food canteen in Les Batignolles, Paris - Sortiraparis.com",,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
626,Little Miss Geisha,6,Paris,75006,closed,FALSE,ChIJqdJ8ggRx5kcRVdVgUM4_iRs,48.8479633,2.3400952,inactive,
634,"Restaurant Le Bistrot des Dames à Paris (75017), Saint-Lazare, Batignolles - Place de Clichy - Avis, menu et prix",,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
637,"Restaurant En Face à Paris (75017), Ternes - Porte Maillot - Menu, avis, prix et réservation",,,,to_review,TRUE,,,,inactive;needs_review;missing_place_id;invalid_coordinates;invalid_or_missing_arrondissement,
